"","prize","prizeLabel","person","personLabel","pic","sexlabel","countrylabel","birth","death"
"301","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q6294051","José Suárez Carreño","","masculino","México","",""
"302","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q6294051","José Suárez Carreño","","masculino","España","",""
"303","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q6294051","José Suárez Carreño","","masculino","México","",""
"304","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q6294051","José Suárez Carreño","","masculino","España","",""
"305","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q6318898","Juvencio Valle","","masculino","Chile","",""
"306","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q6405025","Carmen Amoraga","","femenino","España","",""
"307","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q6454247","José Félix Tapia","","masculino","España","",""
"308","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q6499675","Laureano Albán","","masculino","Costa Rica","",""
"309","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q7406450","Salvador Reyes Figueroa","","masculino","Chile","",""
"310","http://www.wikidata.org/entity/Q1280377","Premio Alfaguara de Novela","http://www.wikidata.org/entity/Q8353693","Daniel Sueiro","","masculino","España","",""
"311","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q8961282","Fernando Chivite","","masculino","España","",""
"312","http://www.wikidata.org/entity/Q1280377","Premio Alfaguara de Novela","http://www.wikidata.org/entity/Q8964818","Graciela Montes","","femenino","Argentina","",""
"313","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q9014454","José María Mendiola Insausti","","masculino","España","",""
"314","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q9023360","Lluïsa Forrellad","","femenino","España","",""
"315","http://www.wikidata.org/entity/Q3320346","Premio Nacional de Narrativa","http://www.wikidata.org/entity/Q9025225","Luis Mateo Díez","","masculino","España","",""
"316","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q9025225","Luis Mateo Díez","","masculino","España","",""
"317","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q9032618","Miguel-Anxo Murado","","masculino","España","",""
"318","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q9070373","Rogelio Guedea","","masculino","México","",""
"319","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q11062378","Javier Peñas Navarro","","masculino","España","",""
"320","http://www.wikidata.org/entity/Q3326922","Premio de la Crítica Española","http://www.wikidata.org/entity/Q11696254","Núria Perpinyà","","femenino","España","",""
"321","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q11702233","Raúl Guerra Garrido","","masculino","España","",""
"322","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q11702233","Raúl Guerra Garrido","","masculino","España","",""
"323","http://www.wikidata.org/entity/Q926015","Premio Nadal","http://www.wikidata.org/entity/Q11948278","Sergio Vila-Sanjuán","","masculino","España","",""
"324","http://www.wikidata.org/entity/Q1630979","Premio Planeta","http://www.wikidata.org/entity/Q12256308","Dolores Redondo","","femenino","España","",""
"325","http://www.wikidata.org/entity/Q1088492","Premio Rómulo Gallegos","http://www.wikidata.org/entity/Q15586483","Eduardo Lalo","","masculino","Puerto Rico","",""
"326","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q16561752","Emilio Sola","","masculino","España","",""
