"","item","itemLabel","coord","lon","lat"
"137","http://www.wikidata.org/entity/Q54309783","Temiño","Point(-3.545622222 42.474566666)",-3.5456222222222,42.474566666667
"138","http://www.wikidata.org/entity/Q24011586","Castillo de Garcimuñoz","Point(-2.381388888 39.660097222)",-2.3813888888889,39.660097222222
"139","http://www.wikidata.org/entity/Q54882714","Miñón","Point(-3.501227777 42.947125)",-3.5012277777778,42.947125
"140","http://www.wikidata.org/entity/Q54931103","Orbañanos","Point(-3.176122222 42.751297222)",-3.1761222222222,42.751297222222
"141","http://www.wikidata.org/entity/Q54932344","Bascuñuelos","Point(-3.334072222 42.810827777)",-3.3340722222222,42.810827777778
"142","http://www.wikidata.org/entity/Q55754498","Azañón","Point(-2.543947222 40.686555555)",-2.5439472222222,40.686555555556
"143","http://www.wikidata.org/entity/Q11680183","Bedoña","Point(-2.4817 43.0458)",-2.48166667,43.04583333
"144","http://www.wikidata.org/entity/Q12258295","Gaztaño","Point(-1.89833333 43.31)",-1.89833333,43.31
"145","http://www.wikidata.org/entity/Q12257018","Ereñotzu","Point(-1.93916667 43.2425)",-1.93916667,43.2425
"146","http://www.wikidata.org/entity/Q12268162","Traslaviña","Point(-3.21777778 43.24)",-3.21777778,43.24
"147","http://www.wikidata.org/entity/Q16142150","Barrio Nuestra Señora de Cubas (Albacete)","Point(-1.85867 39.007758)",-1.85867,39.007758
"148","http://www.wikidata.org/entity/Q24934869","Muntsaratz, Abadiño","Point(-2.6028 43.1431)",-2.60277778,43.14305556
"149","http://www.wikidata.org/entity/Q65923058","Nuestra Señora de los Desamparados de Jubia","Point(-8.1802 43.5115)",-8.1801944444444,43.5115
"150","http://www.wikidata.org/entity/Q65923058","Nuestra Señora de los Desamparados de Jubia","Point(-8.1802 43.5115)",-8.1802,43.5115
"151","http://www.wikidata.org/entity/Q11695662","Nieves (La Coruña)","Point(-8.0564 43.4314)",-8.05638889,43.43138889
"152","http://www.wikidata.org/entity/Q11702218","Rañobre","Point(-8.4919 43.3349)",-8.4919,43.3349
"153","http://www.wikidata.org/entity/Q12380056","Boliña","Point(-8.8758 42.6499)",-8.8758,42.6499
"154","http://www.wikidata.org/entity/Q12380079","A Bragaña","Point(-8.031 43.2428)",-8.031,43.2428
"155","http://www.wikidata.org/entity/Q5757979","Castro de Elviña, Elviña","Point(-8.40888889 43.32972222)",-8.40888889,43.32972222
"156","http://www.wikidata.org/entity/Q8204696","Armuño","Point(-8.2743 43.3169)",-8.2743,43.3169
"157","http://www.wikidata.org/entity/Q9033815","Miñide","Point(-6.9894 43.0811)",-6.9894444444444,43.081111111111
"158","http://www.wikidata.org/entity/Q12380727","A Espiñeira","Point(-7.9754 43.274)",-7.9754,43.274
"159","http://www.wikidata.org/entity/Q2131577","O Rapote, Broño, Negreira","Point(-8.7973187 42.9280777)",-8.7973187,42.9280777
"160","http://www.wikidata.org/entity/Q3401560","Pregontoño","Point(-8.1870568 42.9215962)",-8.1870568,42.9215962
"161","http://www.wikidata.org/entity/Q12381788","Raíña","Point(-8.2935 43.2374)",-8.2935,43.2374
"162","http://www.wikidata.org/entity/Q12382147","Valiña","Point(-8.1678 42.9618)",-8.1678,42.9618
"163","http://www.wikidata.org/entity/Q12381030","Graña","Point(-8.2152 43.2536)",-8.2152,43.2536
"164","http://www.wikidata.org/entity/Q12381039","A Graña do Vilar","Point(-7.9556 43.2725)",-7.9556,43.2725
"165","http://www.wikidata.org/entity/Q12382231","A Viña","Point(-8.2665 43.3249)",-8.2665,43.3249
"166","http://www.wikidata.org/entity/Q12382387","Abruñedo","Point(-8.1647 42.9634)",-8.1647,42.9634
"167","http://www.wikidata.org/entity/Q12384392","Bergondiño","Point(-8.2471 43.3261)",-8.2471,43.3261
"168","http://www.wikidata.org/entity/Q12385217","Caraña Dabaixo","Point(-8.21283 43.2876)",-8.21283,43.2876
"169","http://www.wikidata.org/entity/Q12385218","Caraña Domedio","Point(-8.2066 43.2878)",-8.2066,43.2878
"170","http://www.wikidata.org/entity/Q12385320","Cariño","Point(-8.8747 42.6264)",-8.8747,42.6264
"171","http://www.wikidata.org/entity/Q12385506","Casacamiño","Point(-7.9797 43.2786)",-7.9797,43.2786
"172","http://www.wikidata.org/entity/Q12385658","Castiñeiro de Lobo","Point(-8.656 42.8864)",-8.656,42.8864
"173","http://www.wikidata.org/entity/Q12386394","A Condomiña","Point(-8.6451 42.8555)",-8.6451,42.8555
"174","http://www.wikidata.org/entity/Q12386517","Coroño","Point(-8.8934 42.6646)",-8.8934,42.6646
"175","http://www.wikidata.org/entity/Q12388546","Figueroa Pequeño","Point(-8.3204 43.2114)",-8.3204,43.2114
"176","http://www.wikidata.org/entity/Q12390311","Guntiñas","Point(-7.4214029 42.5614927)",-7.4214029,42.5614927
"177","http://www.wikidata.org/entity/Q12387321","Eirapedriña","Point(-8.6297 42.8365)",-8.6297,42.8365
"178","http://www.wikidata.org/entity/Q12392960","Mariñán","Point(-8.2219 43.3173)",-8.2219,43.3173
"179","http://www.wikidata.org/entity/Q12391674","Lañas","Point(-8.7076 42.9533)",-8.7076,42.9533
"180","http://www.wikidata.org/entity/Q12390172","Graña","Point(-8.9295 42.7006)",-8.9295,42.7006
"181","http://www.wikidata.org/entity/Q12387876","Enseño","Point(-8.9005 42.6906)",-8.9005,42.6906
"182","http://www.wikidata.org/entity/Q12387966","Escarabotiño","Point(-8.9052 42.6364)",-8.9052,42.6364
"183","http://www.wikidata.org/entity/Q12388134","Estivadiña","Point(-8.7043 42.9273)",-8.7043,42.9273
"184","http://www.wikidata.org/entity/Q12392564","Maciñeiras","Point(-8.2556 43.4249)",-8.2556,43.4249
"185","http://www.wikidata.org/entity/Q12393483","Montaña","Point(-8.92 42.6504)",-8.92,42.6504
"186","http://www.wikidata.org/entity/Q12393485","Montañó","Point(-8.9285 42.6503)",-8.9285,42.6503
"187","http://www.wikidata.org/entity/Q12394882","Cubeliño","Point(-8.8548 42.6617)",-8.8548,42.6617
"188","http://www.wikidata.org/entity/Q12395080","Furiño","Point(-8.0557 42.9915)",-8.0557,42.9915
"189","http://www.wikidata.org/entity/Q12395084","O Galiñeiro","Point(-8.7108 42.8897)",-8.7108,42.8897
"190","http://www.wikidata.org/entity/Q12395187","Louriño","Point(-8.8565 42.6839)",-8.8565,42.6839
"191","http://www.wikidata.org/entity/Q12394698","O Caño","Point(-8.2289 43.3109)",-8.2289,43.3109
"192","http://www.wikidata.org/entity/Q12394705","Cepiño","Point(-8.2293 43.2852)",-8.2293,43.2852
"193","http://www.wikidata.org/entity/Q12395885","Saltiño","Point(-8.8732 42.6351)",-8.8732,42.6351
"194","http://www.wikidata.org/entity/Q12395635","Portiño","Point(-8.4897 43.3533)",-8.4897,43.3533
"195","http://www.wikidata.org/entity/Q12397059","Pantiñobre","Point(-8.2035 42.8987)",-8.2035,42.8987
"196","http://www.wikidata.org/entity/Q12397118","Paramuíño","Point(-8.5927 42.8487)",-8.5927,42.8487
"197","http://www.wikidata.org/entity/Q12397144","Pardiñas de Abaixo","Point(-8.0334 43.2308)",-8.0334,43.2308
"198","http://www.wikidata.org/entity/Q12396658","Muíños","Point(-8.8457 42.7021)",-8.8457,42.7021
"199","http://www.wikidata.org/entity/Q12396391","Ortoñiño","Point(-8.6334 42.8466)",-8.6334,42.8466
"200","http://www.wikidata.org/entity/Q12397441","Pegariños","Point(-8.6624 42.8811)",-8.6624,42.8811
"201","http://www.wikidata.org/entity/Q12397711","Piñeiro","Point(-8.2044 43.2662)",-8.2044,43.2662
"202","http://www.wikidata.org/entity/Q12397712","Piñeiro","Point(-8.1476 43.0246)",-8.1476,43.0246
"203","http://www.wikidata.org/entity/Q12397734","Piñeiros","Point(-7.3866673 42.5452903)",-7.3866673,42.5452903
"204","http://www.wikidata.org/entity/Q12397814","Pociñas","Point(-8.3259 43.1557)",-8.3259,43.1557
"205","http://www.wikidata.org/entity/Q12400950","Teaño","Point(-8.897 42.6643)",-8.897,42.6643
"206","http://www.wikidata.org/entity/Q12399649","San Martiño","Point(-8.8625 42.6521)",-8.8625,42.6521
"207","http://www.wikidata.org/entity/Q12400434","Señor","Point(-8.7568 42.9514)",-8.7568,42.9514
"208","http://www.wikidata.org/entity/Q12401233","Touriñao Dabaixo","Point(-8.1862 43.2966)",-8.1862,43.2966
"209","http://www.wikidata.org/entity/Q12401234","Touriñao Darriba","Point(-8.1941 43.2995)",-8.1941,43.2995
"210","http://www.wikidata.org/entity/Q12401416","Triñáns","Point(-8.8615 42.6278)",-8.8615,42.6278
"211","http://www.wikidata.org/entity/Q12401679","Valiña","Point(-8.7023 42.9528)",-8.7023,42.9528
"212","http://www.wikidata.org/entity/Q12402229","Vilariño (Puebla del Brollón)","Point(-7.3783443 42.5706765)",-7.3783443,42.5706765
"213","http://www.wikidata.org/entity/Q12402220","Vilariño","Point(-8.8201 42.9529)",-8.8201,42.9529
"214","http://www.wikidata.org/entity/Q20542523","O Toxiño","Point(-7.9599 43.2638)",-7.9599,43.2638
"215","http://www.wikidata.org/entity/Q12402461","Borducedo Pequeño","Point(-8.33474 43.15129)",-8.33474,43.15129
"216","http://www.wikidata.org/entity/Q20542773","Beldoña","Point(-8.2621 43.2525)",-8.2621,43.2525
"217","http://www.wikidata.org/entity/Q20544352","O Piñeiral","Point(-8.1615 42.9378)",-8.1615,42.9378
"218","http://www.wikidata.org/entity/Q20544484","Cortiñas","Point(-7.414985 42.596404)",-7.414985,42.596404
"219","http://www.wikidata.org/entity/Q20544501","Valiño","Point(-8.8513 42.6903)",-8.8513,42.6903
"220","http://www.wikidata.org/entity/Q20543999","Obra de Paño","Point(-8.2777 43.3269)",-8.2777,43.3269
"221","http://www.wikidata.org/entity/Q20544074","Piñeiro","Point(-8.9236 42.6519)",-8.9236,42.6519
"222","http://www.wikidata.org/entity/Q20544557","Piñeiro","Point(-8.1726 42.8913)",-8.1726,42.8913
"223","http://www.wikidata.org/entity/Q20544577","Piñeiro","Point(-8.0801 42.9888)",-8.0801,42.9888
"224","http://www.wikidata.org/entity/Q20544701","Piñor","Point(-8.6957 42.9003)",-8.6957,42.9003
"225","http://www.wikidata.org/entity/Q20544901","Puebla del Caramiñal","Point(-8.9398 42.6048)",-8.9398,42.6048
"226","http://www.wikidata.org/entity/Q20545841","A Moniña","Point(-8.5951 42.8575)",-8.5951,42.8575
"227","http://www.wikidata.org/entity/Q20546396","A Raíña","Point(-7.5449271 42.6470024)",-7.5449271,42.6470024
"228","http://www.wikidata.org/entity/Q20546064","Rañal","Point(-8.50823 43.32032)",-8.50823,43.32032
"229","http://www.wikidata.org/entity/Q20547863","A Campiña","Point(-8.2547 43.3186)",-8.2547,43.3186
"230","http://www.wikidata.org/entity/Q20547868","A Campiña","Point(-8.2557 43.3186)",-8.2557,43.3186
"231","http://www.wikidata.org/entity/Q20547338","Os Paraños","Point(-8.0722 43.1873)",-8.0722,43.1873
"232","http://www.wikidata.org/entity/Q20547468","Pardiñas de Arriba","Point(-8.0284 43.2252)",-8.0284,43.2252
"233","http://www.wikidata.org/entity/Q20547985","Vilariño","Point(-8.8684 42.6694)",-8.8684,42.6694
"234","http://www.wikidata.org/entity/Q20548513","Peceñe","Point(-8.1522 42.9519)",-8.1522,42.9519
